symbol,year,events,always_pct,switched_pct,pct_events_negative,days_held_pct
BTCUSDT,2019,338,2.3360024689950354,0.7744646281237166,18.34319526627219,76.62721893491124
BTCUSDT,2020,1098,18.808256534002755,17.284139234750604,14.29872495446266,85.70127504553734
BTCUSDT,2021,1095,35.79349973879906,34.02077487073718,7.30593607305936,92.14611872146119
BTCUSDT,2022,1095,4.252410821748898,1.2882898770481876,22.100456621004565,88.67579908675799
BTCUSDT,2023,1095,8.182755620192662,7.1719387977071225,10.136986301369863,98.2648401826484
BTCUSDT,2024,1098,12.69946728276874,12.053848857039085,8.378870673952642,94.44444444444444
BTCUSDT,2025,1095,5.259880866555999,4.320142723524145,12.876712328767123,94.79452054794521
BTCUSDT,2026,733,1.7888433956778416,-0.29253733347690547,28.376534788540248,69.44065484311051
ETHUSDT,2019,104,0.850182451452608,0.4717337955627121,4.807692307692308,79.8076923076923
ETHUSDT,2020,1098,31.626920579676042,31.08781059048633,2.6411657559198543,98.99817850637523
ETHUSDT,2021,1095,45.525248430257584,43.18364784518014,4.10958904109589,97.44292237442922
ETHUSDT,2022,1095,0.7887733446025225,-0.1908999578063897,34.15525114155251,67.67123287671232
ETHUSDT,2023,1095,8.609496965360153,8.280401719133156,9.1324200913242,97.89954337899543
ETHUSDT,2024,1098,13.877594157160944,12.836370153574904,4.189435336976321,98.72495446265937
ETHUSDT,2025,1095,5.051970657660609,3.3992182428695505,16.164383561643834,97.89954337899543
ETHUSDT,2026,733,1.0647942513632547,-0.8748301344623566,32.605729877216916,63.30150068212824
