Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
433,Entry long,2021-03-30 10:00,BUY,191.63,71.34,13670.8842,19.98,0.15,59.21,0.43,-92.03,-0.67,36744.33,36.74
434,Exit long,2021-03-30 15:00,EXIT_LONG,191.91,71.35,13667.806,24.97,0.18,64.22,0.47,-87.05,-0.64,36769.31,36.77
434,Entry long,2021-03-30 10:15,BUY,191.56,71.35,13667.806,24.97,0.18,64.22,0.47,-87.05,-0.64,36769.31,36.77
435,Exit long,2021-03-30 15:00,EXIT_LONG,191.91,71.51,13663.4157,60.07,0.44,93.68,0.69,-52.2,-0.38,36829.38,36.83
435,Entry long,2021-03-30 11:00,BUY,191.07,71.51,13663.4157,60.07,0.44,93.68,0.69,-52.2,-0.38,36829.38,36.83
436,Exit long,2021-03-31 14:30,EXIT_LONG,197.55,70.94,13681.4884,332.71,2.43,337.67,2.47,-95.77,-0.70,37162.08,37.16
436,Entry long,2021-03-31 11:45,BUY,192.86,70.94,13681.4884,332.71,2.43,337.67,2.47,-95.77,-0.70,37162.08,37.16
437,Exit long,2021-03-31 20:45,EXIT_LONG,191.17,71.98,13710.7504,49.67,0.36,83.5,0.61,-190.03,-1.39,37211.75,37.21
437,Entry long,2021-03-31 16:15,BUY,190.48,71.98,13710.7504,49.67,0.36,83.5,0.61,-190.03,-1.39,37211.75,37.21
438,Exit long,2021-03-31 20:45,EXIT_LONG,191.17,72.06,13714.4592,61.25,0.45,95.12,0.69,-178.71,-1.30,37273,37.27
438,Entry long,2021-03-31 16:30,BUY,190.32,72.06,13714.4592,61.25,0.45,95.12,0.69,-178.71,-1.30,37273,37.27
439,Exit long,2021-03-31 20:45,EXIT_LONG,191.17,72.19,13706.7153,93.85,0.68,127.78,0.93,-146.55,-1.07,37366.85,37.37
439,Entry long,2021-03-31 16:45,BUY,189.87,72.19,13706.7153,93.85,0.68,127.78,0.93,-146.55,-1.07,37366.85,37.37
440,Exit long,2021-04-04 10:15,EXIT_LONG,198.78,65.77,13728.1721,-654.41,-4.77,112.47,0.82,-1085.86,-7.91,36712.44,36.71
440,Entry long,2021-04-03 23:30,BUY,208.73,65.77,13728.1721,-654.41,-4.77,112.47,0.82,-1085.86,-7.91,36712.44,36.71
441,Exit long,2021-04-04 10:15,EXIT_LONG,198.78,66.23,13722.856,-557.66,-4.06,214.59,1.56,-992.13,-7.23,36154.78,36.15
441,Entry long,2021-04-04 00:00,BUY,207.2,66.23,13722.856,-557.66,-4.06,214.59,1.56,-992.13,-7.23,36154.78,36.15
442,Exit long,2021-04-04 10:15,EXIT_LONG,198.78,66.35,13723.834,-534.78,-3.90,18.58,0.14,-970.04,-7.07,35620,35.62
442,Entry long,2021-04-04 01:00,BUY,206.84,66.35,13723.834,-534.78,-3.90,18.58,0.14,-970.04,-7.07,35620,35.62
443,Exit long,2021-04-07 21:00,EXIT_LONG,221.76,59.17,13561.1723,-439.63,-3.24,107.1,0.79,-1089.91,-8.04,35180.36,35.18
443,Entry long,2021-04-07 16:15,BUY,229.19,59.17,13561.1723,-439.63,-3.24,107.1,0.79,-1089.91,-8.04,35180.36,35.18
444,Exit long,2021-04-07 21:00,EXIT_LONG,221.76,59.4,13553.298,-380.75,-2.81,143.15,1.06,-1033.56,-7.63,34799.61,34.80
444,Entry long,2021-04-07 16:30,BUY,228.17,59.4,13553.298,-380.75,-2.81,143.15,1.06,-1033.56,-7.63,34799.61,34.80
445,Exit long,2021-04-07 21:00,EXIT_LONG,221.76,59.56,13546.3264,-338.3,-2.50,187.02,1.38,-992.87,-7.33,34461.31,34.46
445,Entry long,2021-04-07 16:45,BUY,227.44,59.56,13546.3264,-338.3,-2.50,187.02,1.38,-992.87,-7.33,34461.31,34.46
446,Exit long,2021-04-08 20:30,EXIT_LONG,222.29,61.49,13446.0183,222.59,1.66,234.89,1.75,-109.45,-0.81,34683.9,34.68
446,Entry long,2021-04-08 18:15,BUY,218.67,61.49,13446.0183,222.59,1.66,234.89,1.75,-109.45,-0.81,34683.9,34.68
447,Exit long,2021-04-10 10:00,EXIT_LONG,222.68,60.72,13467.0888,54.04,0.40,62.54,0.46,-186.41,-1.38,34737.95,34.74
447,Entry long,2021-04-10 07:00,BUY,221.79,60.72,13467.0888,54.04,0.40,62.54,0.46,-186.41,-1.38,34737.95,34.74
448,Exit long,2021-04-10 10:00,EXIT_LONG,222.68,61.17,13458.0117,163.32,1.21,171.89,1.28,-69.12,-0.51,34901.27,34.90
448,Entry long,2021-04-10 07:15,BUY,220.01,61.17,13458.0117,163.32,1.21,171.89,1.28,-69.12,-0.51,34901.27,34.90
449,Exit long,2021-04-10 10:00,EXIT_LONG,222.68,61.09,13462.4033,141.12,1.05,149.67,1.11,-73.92,-0.55,35042.39,35.04
449,Entry long,2021-04-10 07:30,BUY,220.37,61.09,13462.4033,141.12,1.05,149.67,1.11,-73.92,-0.55,35042.39,35.04
450,Exit long,2021-04-12 03:00,EXIT_LONG,251.08,54.81,13502.9916,258.7,1.92,308.58,2.29,-87.15,-0.65,35301.09,35.30
450,Entry long,2021-04-12 01:00,BUY,246.36,54.81,13502.9916,258.7,1.92,308.58,2.29,-87.15,-0.65,35301.09,35.30
451,Exit long,2021-04-12 20:30,EXIT_LONG,252.35,55.13,13533.3124,378.74,2.80,797.18,5.89,-19.3,-0.14,35679.83,35.68
451,Entry long,2021-04-12 18:45,BUY,245.48,55.13,13533.3124,378.74,2.80,797.18,5.89,-19.3,-0.14,35679.83,35.68
452,Exit long,2021-04-13 05:00,EXIT_LONG,244.4,55.94,13569.3658,102.37,0.75,236.07,1.74,-143.21,-1.06,35782.2,35.78
452,Entry long,2021-04-12 23:15,BUY,242.57,55.94,13569.3658,102.37,0.75,236.07,1.74,-143.21,-1.06,35782.2,35.78
453,Exit long,2021-04-13 05:00,EXIT_LONG,244.4,56.12,13560.2756,155.45,1.15,289.58,2.14,-90.91,-0.67,35937.66,35.94
453,Entry long,2021-04-12 23:30,BUY,241.63,56.12,13560.2756,155.45,1.15,289.58,2.14,-90.91,-0.67,35937.66,35.94
454,Exit long,2021-04-14 19:15,EXIT_LONG,273.51,51.13,13592.9105,391.66,2.88,395.75,2.91,-171.29,-1.26,36329.31,36.33
454,Entry long,2021-04-14 17:30,BUY,265.85,51.13,13592.9105,391.66,2.88,395.75,2.91,-171.29,-1.26,36329.31,36.33
455,Exit long,2021-04-14 23:45,EXIT_LONG,266.61,51.72,13628.22,160.85,1.18,167.06,1.23,-439.62,-3.23,36490.16,36.49
455,Entry long,2021-04-14 22:00,BUY,263.5,51.72,13628.22,160.85,1.18,167.06,1.23,-439.62,-3.23,36490.16,36.49
456,Exit long,2021-04-14 23:45,EXIT_LONG,266.61,53.13,13591.1853,573.8,4.22,580.18,4.27,-2.66,-0.02,37063.96,37.06
456,Entry long,2021-04-14 22:15,BUY,255.81,53.13,13591.1853,573.8,4.22,580.18,4.27,-2.66,-0.02,37063.96,37.06
457,Exit long,2021-04-15 20:15,EXIT_LONG,271.8,51.44,13709.2744,272.12,1.98,282.41,2.06,-26.23,-0.19,37336.08,37.34
457,Entry long,2021-04-15 19:00,BUY,266.51,51.44,13709.2744,272.12,1.98,282.41,2.06,-26.23,-0.19,37336.08,37.34
458,Exit long,2021-04-16 22:45,EXIT_LONG,277.18,49.76,13731.272,61.2,0.45,267.21,1.95,-519.99,-3.79,37397.29,37.40
458,Entry long,2021-04-16 17:45,BUY,275.95,49.76,13731.272,61.2,0.45,267.21,1.95,-519.99,-3.79,37397.29,37.40
459,Exit long,2021-04-16 22:45,EXIT_LONG,277.18,50.29,13719.112,220.27,1.61,370.13,2.70,-367.12,-2.68,37617.56,37.62
459,Entry long,2021-04-16 19:00,BUY,272.8,50.29,13719.112,220.27,1.61,370.13,2.70,-367.12,-2.68,37617.56,37.62
460,Exit long,2021-04-16 22:45,EXIT_LONG,277.18,50.87,13675.8908,424.26,3.10,444.6,3.25,-33.57,-0.25,38041.81,38.04
460,Entry long,2021-04-16 22:00,BUY,268.84,50.87,13675.8908,424.26,3.10,444.6,3.25,-33.57,-0.25,38041.81,38.04
461,Exit long,2021-04-17 21:00,EXIT_LONG,319.56,44.63,13803.6127,458.35,3.32,463.26,3.36,-210.65,-1.53,38500.16,38.50
461,Entry long,2021-04-17 19:30,BUY,309.29,44.63,13803.6127,458.35,3.32,463.26,3.36,-210.65,-1.53,38500.16,38.50
462,Exit long,2021-04-17 21:00,EXIT_LONG,319.56,44.49,13805.247,411.98,2.98,416.87,3.02,-207.32,-1.50,38912.14,38.91
462,Entry long,2021-04-17 19:45,BUY,310.3,44.49,13805.247,411.98,2.98,416.87,3.02,-207.32,-1.50,38912.14,38.91
463,Exit long,2021-04-17 21:00,EXIT_LONG,319.56,44.47,13803.9327,406.9,2.95,411.79,2.98,-212.12,-1.54,39319.04,39.32
463,Entry long,2021-04-17 20:00,BUY,310.41,44.47,13803.9327,406.9,2.95,411.79,2.98,-212.12,-1.54,39319.04,39.32
464,Exit long,2021-04-18 15:15,EXIT_LONG,267,48.21,13932.2079,-1060.14,-7.61,294.08,2.11,-2790.88,-20.03,38258.9,38.26
464,Entry long,2021-04-18 08:30,BUY,288.99,48.21,13932.2079,-1060.14,-7.61,294.08,2.11,-2790.88,-20.03,38258.9,38.26
465,Exit long,2021-04-18 15:15,EXIT_LONG,267,47.71,13944.2017,-1205.63,-8.65,46.76,0.34,-2918.42,-20.93,37053.27,37.05
465,Entry long,2021-04-18 08:45,BUY,292.27,47.71,13944.2017,-1205.63,-8.65,46.76,0.34,-2918.42,-20.93,37053.27,37.05
466,Exit long,2021-04-18 15:15,EXIT_LONG,267,48.67,13878.7372,-883.85,-6.37,392.28,2.83,-2631.1,-18.96,36169.43,36.17
466,Entry long,2021-04-18 09:00,BUY,285.16,48.67,13878.7372,-883.85,-6.37,392.28,2.83,-2631.1,-18.96,36169.43,36.17
467,Exit long,2021-04-19 19:15,EXIT_LONG,271.78,51.87,13617.4311,479.8,3.52,491.21,3.61,-92.33,-0.68,36649.22,36.65
467,Entry long,2021-04-19 18:15,BUY,262.53,51.87,13617.4311,479.8,3.52,491.21,3.61,-92.33,-0.68,36649.22,36.65
468,Exit long,2021-04-20 02:00,EXIT_LONG,260.19,53.53,13667.8149,260.16,1.90,414.32,3.03,-274.07,-2.01,36909.38,36.91
468,Entry long,2021-04-19 22:45,BUY,255.33,53.53,13667.8149,260.16,1.90,414.32,3.03,-274.07,-2.01,36909.38,36.91
469,Exit long,2021-04-20 02:00,EXIT_LONG,260.19,54.12,13644.1932,437.29,3.20,593.16,4.35,-102.83,-0.75,37346.67,37.35
469,Entry long,2021-04-19 23:45,BUY,252.11,54.12,13644.1932,437.29,3.20,593.16,4.35,-102.83,-0.75,37346.67,37.35
470,Exit long,2021-04-20 02:00,EXIT_LONG,260.19,54.1,13647.807,428.47,3.14,584.28,4.28,-105.49,-0.77,37775.14,37.78
470,Entry long,2021-04-20 00:00,BUY,252.27,54.1,13647.807,428.47,3.14,584.28,4.28,-105.49,-0.77,37775.14,37.78
471,Exit long,2021-04-20 16:15,EXIT_LONG,248.99,54.78,13774.431,-134.76,-0.98,194.47,1.41,-938.93,-6.82,37640.38,37.64
471,Entry long,2021-04-20 08:30,BUY,251.45,54.78,13774.431,-134.76,-0.98,194.47,1.41,-938.93,-6.82,37640.38,37.64
472,Exit long,2021-04-20 16:15,EXIT_LONG,248.99,56.35,13735.3125,295.27,2.15,633.94,4.62,-531.94,-3.87,37935.66,37.94
472,Entry long,2021-04-20 08:45,BUY,243.75,56.35,13735.3125,295.27,2.15,633.94,4.62,-531.94,-3.87,37935.66,37.94
473,Exit long,2021-04-20 16:15,EXIT_LONG,248.99,55.87,13764.6919,146.38,1.06,482.16,3.50,-673.79,-4.90,38082.04,38.08
473,Entry long,2021-04-20 09:00,BUY,246.37,55.87,13764.6919,146.38,1.06,482.16,3.50,-673.79,-4.90,38082.04,38.08
474,Exit long,2021-04-21 20:30,EXIT_LONG,261,54.41,13807.0816,393.93,2.85,445.07,3.22,-163.77,-1.19,38475.96,38.48
474,Entry long,2021-04-21 19:00,BUY,253.76,54.41,13807.0816,393.93,2.85,445.07,3.22,-163.77,-1.19,38475.96,38.48
475,Exit long,2021-04-22 09:15,EXIT_LONG,263.51,53.85,13845.912,344.1,2.49,358.1,2.59,-243.94,-1.76,38820.06,38.82
475,Entry long,2021-04-22 06:45,BUY,257.12,53.85,13845.912,344.1,2.49,358.1,2.59,-243.94,-1.76,38820.06,38.82
476,Exit long,2021-04-23 16:45,EXIT_LONG,228.83,54.22,13890.6218,-1483.46,-10.68,185.97,1.34,-2673.05,-19.24,37336.61,37.34
476,Entry long,2021-04-23 05:00,BUY,256.19,54.22,13890.6218,-1483.46,-10.68,185.97,1.34,-2673.05,-19.24,37336.61,37.34
477,Exit long,2021-04-23 16:45,EXIT_LONG,228.83,55.3,13841.037,-1186.74,-8.57,515.95,3.73,-2400.02,-17.34,36149.87,36.15
477,Entry long,2021-04-23 05:15,BUY,250.29,55.3,13841.037,-1186.74,-8.57,515.95,3.73,-2400.02,-17.34,36149.87,36.15
478,Exit long,2021-04-23 16:45,EXIT_LONG,228.83,55.92,13808.3256,-1012.15,-7.33,113.52,0.82,-2239.04,-16.22,35137.71,35.14
478,Entry long,2021-04-23 09:30,BUY,246.93,55.92,13808.3256,-1012.15,-7.33,113.52,0.82,-2239.04,-16.22,35137.71,35.14
479,Exit long,2021-04-24 20:45,EXIT_LONG,228.65,59.63,13512.7543,121.65,0.90,178.89,1.32,-373.88,-2.77,35259.36,35.26
479,Entry long,2021-04-24 18:15,BUY,226.61,59.63,13512.7543,121.65,0.90,178.89,1.32,-373.88,-2.77,35259.36,35.26
480,Exit long,2021-04-24 20:45,EXIT_LONG,228.65,59.73,13508.5368,148.73,1.10,206.07,1.53,-347.63,-2.57,35408.09,35.41
480,Entry long,2021-04-24 18:30,BUY,226.16,59.73,13508.5368,148.73,1.10,206.07,1.53,-347.63,-2.57,35408.09,35.41
481,Exit long,2021-04-24 20:45,EXIT_LONG,228.65,59.93,13495.0374,207.96,1.54,265.49,1.97,-290.06,-2.15,35616.04,35.62
481,Entry long,2021-04-24 18:45,BUY,225.18,59.93,13495.0374,207.96,1.54,265.49,1.97,-290.06,-2.15,35616.04,35.62
482,Exit long,2021-04-26 07:30,EXIT_LONG,221.8,60.59,13558.8302,-119.97,-0.88,126.03,0.93,-790.7,-5.83,35496.08,35.50
482,Entry long,2021-04-26 04:00,BUY,223.78,60.59,13558.8302,-119.97,-0.88,126.03,0.93,-790.7,-5.83,35496.08,35.50
483,Exit long,2021-04-26 07:30,EXIT_LONG,221.8,61.82,13531.1616,180.51,1.33,215.75,1.59,-503.83,-3.72,35676.59,35.68
483,Entry long,2021-04-26 05:00,BUY,218.88,61.82,13531.1616,180.51,1.33,215.75,1.59,-503.83,-3.72,35676.59,35.68
484,Exit long,2021-04-26 07:30,EXIT_LONG,221.8,61.65,13535.874,138.1,1.02,173.24,1.28,-544.37,-4.02,35814.69,35.81
484,Entry long,2021-04-26 05:15,BUY,219.56,61.65,13535.874,138.1,1.02,173.24,1.28,-544.37,-4.02,35814.69,35.81
485,Exit long,2021-04-28 16:15,EXIT_LONG,255.73,53.21,13579.192,28.2,0.21,144.73,1.07,-405.46,-2.99,35842.89,35.84
485,Entry long,2021-04-28 12:00,BUY,255.2,53.21,13579.192,28.2,0.21,144.73,1.07,-405.46,-2.99,35842.89,35.84
486,Exit long,2021-04-28 16:15,EXIT_LONG,255.73,53.35,13576.508,66.69,0.49,93.36,0.69,-368.11,-2.71,35909.57,35.91
486,Entry long,2021-04-28 13:00,BUY,254.48,53.35,13576.508,66.69,0.49,93.36,0.69,-368.11,-2.71,35909.57,35.91
487,Exit long,2021-04-28 16:15,EXIT_LONG,255.73,53.49,13563.9942,115,0.85,123.03,0.91,-320.94,-2.37,36024.58,36.02
487,Entry long,2021-04-28 13:30,BUY,253.58,53.49,13563.9942,115,0.85,123.03,0.91,-320.94,-2.37,36024.58,36.02
488,Exit long,2021-04-29 14:00,EXIT_LONG,255.98,54.12,13598.1912,255.45,1.88,307.4,2.26,-54.12,-0.40,36280.02,36.28
488,Entry long,2021-04-29 12:45,BUY,251.26,54.12,13598.1912,255.45,1.88,307.4,2.26,-54.12,-0.40,36280.02,36.28
489,Exit long,2021-04-29 14:00,EXIT_LONG,255.98,54.14,13600.5094,258.25,1.90,310.22,2.28,-17.87,-0.13,36538.27,36.54
489,Entry long,2021-04-29 13:00,BUY,251.21,54.14,13600.5094,258.25,1.90,310.22,2.28,-17.87,-0.13,36538.27,36.54
490,Exit long,2021-04-30 03:45,EXIT_LONG,253.25,54.35,13655.981,108.16,0.79,135.88,0.99,-116.85,-0.86,36646.43,36.65
490,Entry long,2021-04-30 01:00,BUY,251.26,54.35,13655.981,108.16,0.79,135.88,0.99,-116.85,-0.86,36646.43,36.65
491,Exit long,2021-04-30 03:45,EXIT_LONG,253.25,54.46,13646.5868,145.41,1.07,173.18,1.27,-80.06,-0.59,36791.84,36.79
491,Entry long,2021-04-30 01:15,BUY,250.58,54.46,13646.5868,145.41,1.07,173.18,1.27,-80.06,-0.59,36791.84,36.79
492,Exit long,2021-05-01 19:15,EXIT_LONG,270.73,51.1,13677.937,156.37,1.14,169.65,1.24,-39.35,-0.29,36948.2,36.95
492,Entry long,2021-05-01 17:15,BUY,267.67,51.1,13677.937,156.37,1.14,169.65,1.24,-39.35,-0.29,36948.2,36.95
493,Exit long,2021-05-02 14:15,EXIT_LONG,272.19,51.18,13694.7444,235.94,1.72,250.27,1.83,-132.04,-0.96,37184.14,37.18
493,Entry long,2021-05-02 12:00,BUY,267.58,51.18,13694.7444,235.94,1.72,250.27,1.83,-132.04,-0.96,37184.14,37.18
494,Exit long,2021-05-02 18:15,EXIT_LONG,269.62,51.49,13721.5701,161.16,1.17,175.58,1.28,-92.17,-0.67,37345.31,37.35
494,Entry long,2021-05-02 16:30,BUY,266.49,51.49,13721.5701,161.16,1.17,175.58,1.28,-92.17,-0.67,37345.31,37.35
495,Exit long,2021-05-04 13:00,EXIT_LONG,283.88,49.42,13731.8412,297.51,2.17,337.04,2.45,-161.6,-1.18,37642.82,37.64
495,Entry long,2021-05-04 09:00,BUY,277.86,49.42,13731.8412,297.51,2.17,337.04,2.45,-161.6,-1.18,37642.82,37.64
496,Exit long,2021-05-06 16:15,EXIT_LONG,337.38,41.84,13750.716,365.74,2.66,461.68,3.35,-131.13,-0.95,38008.56,38.01
496,Entry long,2021-05-06 15:00,BUY,328.65,41.84,13750.716,365.74,2.66,461.68,3.35,-131.13,-0.95,38008.56,38.01
497,Exit long,2021-05-07 06:00,EXIT_LONG,338.92,42.39,13782.6846,584.89,4.24,589.56,4.27,-303.06,-2.20,38593.45,38.59
497,Entry long,2021-05-07 02:45,BUY,325.14,42.39,13782.6846,584.89,4.24,589.56,4.27,-303.06,-2.20,38593.45,38.59
498,Exit long,2021-05-08 07:15,EXIT_LONG,342.76,41.1,13851.111,236.54,1.71,266.98,1.93,-151.38,-1.09,38829.98,38.83
498,Entry long,2021-05-08 06:30,BUY,337.01,41.1,13851.111,236.54,1.71,266.98,1.93,-151.38,-1.09,38829.98,38.83
499,Exit long,2021-05-08 07:15,EXIT_LONG,342.76,41.43,13833.8913,366.99,2.65,397.67,2.87,-24.05,-0.17,39196.97,39.20
499,Entry long,2021-05-08 06:45,BUY,333.91,41.43,13833.8913,366.99,2.65,397.67,2.87,-24.05,-0.17,39196.97,39.20
500,Exit long,2021-05-08 22:45,EXIT_LONG,344.65,41.01,13902.39,231.96,1.67,256.18,1.84,-57.48,-0.41,39428.93,39.43
500,Entry long,2021-05-08 20:45,BUY,339,41.01,13902.39,231.96,1.67,256.18,1.84,-57.48,-0.41,39428.93,39.43
501,Exit long,2021-05-09 01:15,EXIT_LONG,340.18,41.58,13921.8156,223.11,1.60,290.55,2.08,-34.13,-0.24,39652.05,39.65
501,Entry long,2021-05-09 00:00,BUY,334.82,41.58,13921.8156,223.11,1.60,290.55,2.08,-34.13,-0.24,39652.05,39.65
502,Exit long,2021-05-11 06:00,EXIT_LONG,371.4,38.04,13949.6484,178.59,1.28,217.81,1.56,-1257.72,-9.01,39830.63,39.83
502,Entry long,2021-05-11 04:00,BUY,366.71,38.04,13949.6484,178.59,1.28,217.81,1.56,-1257.72,-9.01,39830.63,39.83
503,Exit long,2021-05-11 06:00,EXIT_LONG,371.4,39.46,13894.2606,761.94,5.48,802.63,5.77,-300.2,-2.16,40592.58,40.59
503,Entry long,2021-05-11 04:15,BUY,352.11,39.46,13894.2606,761.94,5.48,802.63,5.77,-300.2,-2.16,40592.58,40.59
504,Exit long,2021-05-11 12:45,EXIT_LONG,356.14,40.13,14041.8883,250.26,1.78,421.38,3.00,-197.24,-1.40,40842.84,40.84
504,Entry long,2021-05-11 09:15,BUY,349.91,40.13,14041.8883,250.26,1.78,421.38,3.00,-197.24,-1.40,40842.84,40.84
505,Exit long,2021-05-13 03:45,EXIT_LONG,355.25,37.87,14066.0541,-613.47,-4.36,226.73,1.61,-1275.1,-9.05,40229.36,40.23
505,Entry long,2021-05-12 18:45,BUY,371.43,37.87,14066.0541,-613.47,-4.36,226.73,1.61,-1275.1,-9.05,40229.36,40.23
506,Exit long,2021-05-13 03:45,EXIT_LONG,355.25,37.95,14060.8545,-579.81,-4.12,262.17,1.86,-1242.83,-8.83,39649.55,39.65
506,Entry long,2021-05-12 19:00,BUY,370.51,37.95,14060.8545,-579.81,-4.12,262.17,1.86,-1242.83,-8.83,39649.55,39.65
507,Exit long,2021-05-13 03:45,EXIT_LONG,355.25,38.52,14012.8056,-328.97,-2.34,414.59,2.96,-1001.95,-7.14,39320.58,39.32
507,Entry long,2021-05-12 21:30,BUY,363.78,38.52,14012.8056,-328.97,-2.34,414.59,2.96,-1001.95,-7.14,39320.58,39.32
508,Exit long,2021-05-13 07:00,EXIT_LONG,349.15,41.01,13915.5132,403.61,2.90,438.51,3.15,-275.51,-1.98,39724.2,39.72
508,Entry long,2021-05-13 06:15,BUY,339.32,41.01,13915.5132,403.61,2.90,438.51,3.15,-275.51,-1.98,39724.2,39.72
509,Exit long,2021-05-13 09:30,EXIT_LONG,330.67,43.68,13959.6912,483.64,3.47,494.55,3.55,-948.5,-6.80,40207.83,40.21
509,Entry long,2021-05-13 07:45,BUY,319.59,43.68,13959.6912,483.64,3.47,494.55,3.55,-948.5,-6.80,40207.83,40.21
510,Exit long,2021-05-13 19:45,EXIT_LONG,316.7,44.68,14030.8604,119.21,0.85,288.88,2.06,-485.78,-3.46,40327.04,40.33
510,Entry long,2021-05-13 17:30,BUY,314.03,44.68,14030.8604,119.21,0.85,288.88,2.06,-485.78,-3.46,40327.04,40.33
511,Exit long,2021-05-13 19:45,EXIT_LONG,316.7,45.16,14022.18,279.8,2.00,451.28,3.22,-331.69,-2.37,40606.84,40.61
511,Entry long,2021-05-13 17:45,BUY,310.5,45.16,14022.18,279.8,2.00,451.28,3.22,-331.69,-2.37,40606.84,40.61
512,Exit long,2021-05-13 19:45,EXIT_LONG,316.7,45.1,14025.649,257.34,1.84,428.6,3.06,-353.34,-2.52,40864.18,40.86
512,Entry long,2021-05-13 18:00,BUY,310.99,45.1,14025.649,257.34,1.84,428.6,3.06,-353.34,-2.52,40864.18,40.86
513,Exit long,2021-05-14 04:45,EXIT_LONG,304.93,46.13,14095.0215,-28.58,-0.20,189.46,1.35,-670.72,-4.76,40835.6,40.84
513,Entry long,2021-05-14 01:00,BUY,305.55,46.13,14095.0215,-28.58,-0.20,189.46,1.35,-670.72,-4.76,40835.6,40.84
514,Exit long,2021-05-14 04:45,EXIT_LONG,304.93,46.32,14088.228,36.1,0.26,255.04,1.81,-608.68,-4.32,40871.7,40.87
514,Entry long,2021-05-14 01:15,BUY,304.15,46.32,14088.228,36.1,0.26,255.04,1.81,-608.68,-4.32,40871.7,40.87
515,Exit long,2021-05-14 04:45,EXIT_LONG,304.93,46.65,14065.908,158.97,1.13,287.63,2.05,-490.41,-3.49,41030.67,41.03
515,Entry long,2021-05-14 01:30,BUY,301.52,46.65,14065.908,158.97,1.13,287.63,2.05,-490.41,-3.49,41030.67,41.03
516,Exit long,2021-05-15 06:45,EXIT_LONG,326.35,44.27,14097.3388,350.25,2.48,418.88,2.97,-10.63,-0.08,41380.91,41.38
516,Entry long,2021-05-15 05:00,BUY,318.44,44.27,14097.3388,350.25,2.48,418.88,2.97,-10.63,-0.08,41380.91,41.38
517,Exit long,2021-05-15 20:00,EXIT_LONG,314.65,44.91,14121.0513,9.89,0.07,138.03,0.98,-452.29,-3.20,41390.81,41.39
517,Entry long,2021-05-15 15:15,BUY,314.43,44.91,14121.0513,9.89,0.07,138.03,0.98,-452.29,-3.20,41390.81,41.39
518,Exit long,2021-05-15 20:00,EXIT_LONG,314.65,45.19,14105.1547,114,0.81,242.94,1.72,-351.06,-2.49,41504.81,41.50
518,Entry long,2021-05-15 16:00,BUY,312.13,45.19,14105.1547,114,0.81,242.94,1.72,-351.06,-2.49,41504.81,41.50
519,Exit long,2021-05-15 20:00,EXIT_LONG,314.65,45.12,14118.4992,78.6,0.56,207.33,1.47,-385.75,-2.73,41583.4,41.58
519,Entry long,2021-05-15 16:15,BUY,312.91,45.12,14118.4992,78.6,0.56,207.33,1.47,-385.75,-2.73,41583.4,41.58
520,Exit long,2021-05-16 04:15,EXIT_LONG,308.23,46.64,14140.7816,235.32,1.66,265.67,1.88,-327.77,-2.32,41818.73,41.82
520,Entry long,2021-05-16 00:30,BUY,303.19,46.64,14140.7816,235.32,1.66,265.67,1.88,-327.77,-2.32,41818.73,41.82
521,Exit long,2021-05-16 04:15,EXIT_LONG,308.23,46.6,14135.178,228.59,1.62,258.91,1.83,-334.02,-2.36,42047.32,42.05
521,Entry long,2021-05-16 00:45,BUY,303.33,46.6,14135.178,228.59,1.62,258.91,1.83,-334.02,-2.36,42047.32,42.05
522,Exit long,2021-05-16 04:15,EXIT_LONG,308.23,47,14103.76,383.47,2.72,414.05,2.93,-183.97,-1.30,42430.79,42.43
522,Entry long,2021-05-16 01:15,BUY,300.08,47,14103.76,383.47,2.72,414.05,2.93,-183.97,-1.30,42430.79,42.43
523,Exit long,2021-05-17 07:30,EXIT_LONG,293.31,46.17,14234.6727,-692.83,-4.87,91.92,0.65,-1323.3,-9.29,41737.96,41.74
523,Entry long,2021-05-16 22:45,BUY,308.31,46.17,14234.6727,-692.83,-4.87,91.92,0.65,-1323.3,-9.29,41737.96,41.74
524,Exit long,2021-05-17 07:30,EXIT_LONG,293.31,46.13,14236.1793,-706.07,-4.96,44.3,0.31,-1336,-9.38,41031.89,41.03
524,Entry long,2021-05-16 23:00,BUY,308.61,46.13,14236.1793,-706.07,-4.96,44.3,0.31,-1336,-9.38,41031.89,41.03
525,Exit long,2021-05-17 07:30,EXIT_LONG,293.31,46.49,14211.0632,-575.31,-4.05,68.83,0.48,-1210.15,-8.51,40456.58,40.46
525,Entry long,2021-05-16 23:15,BUY,305.68,46.49,14211.0632,-575.31,-4.05,68.83,0.48,-1210.15,-8.51,40456.58,40.46
526,Exit long,2021-05-17 14:00,EXIT_LONG,279.65,50.24,14035.0464,14.58,0.10,32.17,0.23,-803.74,-5.72,40471.16,40.47
526,Entry long,2021-05-17 11:15,BUY,279.36,50.24,14035.0464,14.58,0.10,32.17,0.23,-803.74,-5.72,40471.16,40.47
527,Exit long,2021-05-17 14:00,EXIT_LONG,279.65,51.33,14005.9038,348.7,2.49,366.68,2.62,-487.37,-3.48,40819.86,40.82
