Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
140,Exit long,2020-12-04 22:30,EXIT_LONG,85.64,128.05,10880.4085,85.79,0.79,130.61,1.20,-252.26,-2.32,8882.02,8.88
140,Entry long,2020-12-04 18:30,BUY,84.97,128.05,10880.4085,85.79,0.79,130.61,1.20,-252.26,-2.32,8882.02,8.88
141,Exit long,2020-12-04 22:30,EXIT_LONG,85.64,129.1,10875.384,180.74,1.66,215.6,1.98,-160.08,-1.47,9062.76,9.06
141,Entry long,2020-12-04 20:00,BUY,84.24,129.1,10875.384,180.74,1.66,215.6,1.98,-160.08,-1.47,9062.76,9.06
142,Exit long,2020-12-04 22:30,EXIT_LONG,85.64,129.39,10859.7027,221.26,2.04,256.19,2.36,-120.33,-1.11,9284.02,9.28
142,Entry long,2020-12-04 20:15,BUY,83.93,129.39,10859.7027,221.26,2.04,256.19,2.36,-120.33,-1.11,9284.02,9.28
143,Exit long,2020-12-05 02:45,EXIT_LONG,84.01,131.16,10928.2512,90.5,0.83,127.23,1.16,-191.49,-1.75,9374.52,9.37
143,Entry long,2020-12-05 00:15,BUY,83.32,131.16,10928.2512,90.5,0.83,127.23,1.16,-191.49,-1.75,9374.52,9.37
144,Exit long,2020-12-05 02:45,EXIT_LONG,84.01,131.38,10926.8746,110.36,1.01,147.15,1.35,-172.11,-1.58,9484.88,9.48
144,Entry long,2020-12-05 00:30,BUY,83.17,131.38,10926.8746,110.36,1.01,147.15,1.35,-172.11,-1.58,9484.88,9.48
145,Exit long,2020-12-05 02:45,EXIT_LONG,84.01,131.61,10918.3656,138.19,1.27,175.04,1.60,-57.91,-0.53,9623.07,9.62
145,Entry long,2020-12-05 00:45,BUY,82.96,131.61,10918.3656,138.19,1.27,175.04,1.60,-57.91,-0.53,9623.07,9.62
146,Exit long,2020-12-05 08:45,EXIT_LONG,80.58,133.73,10959.1735,-183.21,-1.67,66.86,0.61,-554.98,-5.06,9439.86,9.44
146,Entry long,2020-12-05 05:30,BUY,81.95,133.73,10959.1735,-183.21,-1.67,66.86,0.61,-554.98,-5.06,9439.86,9.44
147,Exit long,2020-12-05 08:45,EXIT_LONG,80.58,133.65,10963.3095,-193.79,-1.77,1.34,0.01,-565.34,-5.16,9246.06,9.25
147,Entry long,2020-12-05 05:45,BUY,82.03,133.65,10963.3095,-193.79,-1.77,1.34,0.01,-565.34,-5.16,9246.06,9.25
148,Exit long,2020-12-05 08:45,EXIT_LONG,80.58,134.28,10947.8484,-127.57,-1.17,13.43,0.12,-500.86,-4.58,9118.5,9.12
148,Entry long,2020-12-05 06:00,BUY,81.53,134.28,10947.8484,-127.57,-1.17,13.43,0.12,-500.86,-4.58,9118.5,9.12
149,Exit long,2020-12-06 20:00,EXIT_LONG,82.94,132.69,10913.7525,91.56,0.84,95.54,0.88,-59.71,-0.55,9210.06,9.21
149,Entry long,2020-12-06 17:45,BUY,82.25,132.69,10913.7525,91.56,0.84,95.54,0.88,-59.71,-0.55,9210.06,9.21
150,Exit long,2020-12-06 20:00,EXIT_LONG,82.94,132.92,10904.7568,119.63,1.10,123.62,1.13,-30.57,-0.28,9329.68,9.33
150,Entry long,2020-12-06 18:15,BUY,82.04,132.92,10904.7568,119.63,1.10,123.62,1.13,-30.57,-0.28,9329.68,9.33
151,Exit long,2020-12-06 20:00,EXIT_LONG,82.94,133.2,10903.752,143.86,1.32,147.85,1.36,0,0.00,9473.54,9.47
151,Entry long,2020-12-06 19:30,BUY,81.86,133.2,10903.752,143.86,1.32,147.85,1.36,0,0.00,9473.54,9.47
152,Exit long,2020-12-08 22:00,EXIT_LONG,81.14,133.84,10945.4352,-85.66,-0.78,14.72,0.13,-378.77,-3.46,9387.88,9.39
152,Entry long,2020-12-08 17:30,BUY,81.78,133.84,10945.4352,-85.66,-0.78,14.72,0.13,-378.77,-3.46,9387.88,9.39
