Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
125,Entry long,11/26/2020 09:30,BUY,74.0400,145.5902,10779.5021,224.21,0.22,280.99,0.28,-160.15,-0.16,8463.50,8.46
126,Exit long,11/26/2020 20:30,EXIT_LONG,68.5200,153.1105,10491.1340,-355.22,-0.36,266.41,0.27,-978.38,-0.98,8108.29,8.11
126,Entry long,11/26/2020 14:30,BUY,70.8400,153.1105,10846.3504,-355.22,-0.36,266.41,0.27,-978.38,-0.98,8108.29,8.11
127,Exit long,11/26/2020 20:30,EXIT_LONG,68.5200,151.6267,10389.4604,-468.53,-0.47,147.08,0.15,-1085.65,-1.09,7639.76,7.64
127,Entry long,11/26/2020 14:45,BUY,71.6100,151.6267,10857.9868,-468.53,-0.47,147.08,0.15,-1085.65,-1.09,7639.76,7.64
128,Exit long,11/26/2020 20:30,EXIT_LONG,68.5200,154.7705,10604.8762,-198.11,-0.20,430.26,0.43,-828.02,-0.83,7441.65,7.44
128,Entry long,11/26/2020 15:00,BUY,69.8000,154.7705,10802.9825,-198.11,-0.20,430.26,0.43,-828.02,-0.83,7441.65,7.44
129,Exit long,11/27/2020 09:15,EXIT_LONG,71.0600,157.2164,11171.7940,427.63,0.43,509.38,0.51,-50.31,-0.05,7869.28,7.87
129,Entry long,11/27/2020 08:30,BUY,68.3400,157.2164,10744.1655,427.63,0.43,509.38,0.51,-50.31,-0.05,7869.28,7.87
130,Exit long,11/27/2020 09:15,EXIT_LONG,71.0600,157.3660,11182.4307,439.05,0.44,520.88,0.52,-1.57,-0,8308.33,8.31
130,Entry long,11/27/2020 08:45,BUY,68.2700,157.3660,10743.3794,439.05,0.44,520.88,0.52,-1.57,-0,8308.33,8.31
131,Exit long,11/27/2020 17:00,EXIT_LONG,67.8300,163.8057,11110.9412,280.11,0.28,355.46,0.36,-134.32,-0.13,8588.44,8.59
131,Entry long,11/27/2020 15:45,BUY,66.1200,163.8057,10830.8335,280.11,0.28,355.46,0.36,-134.32,-0.13,8588.44,8.59
132,Exit long,11/27/2020 17:00,EXIT_LONG,67.8300,163.7438,11106.7421,275.09,0.28,350.41,0.35,-139.18,-0.14,8863.53,8.86
132,Entry long,11/27/2020 16:00,BUY,66.1500,163.7438,10831.6525,275.09,0.28,350.41,0.35,-139.18,-0.14,8863.53,8.86
133,Exit long,12/1/2020 13:45,EXIT_LONG,86.2500,133.5913,11522.2477,635.89,0.64,667.96,0.67,-257.83,-0.26,9499.43,9.50
133,Entry long,12/1/2020 12:30,BUY,81.4900,133.5913,10886.3532,635.89,0.64,667.96,0.67,-257.83,-0.26,9499.43,9.50
134,Exit long,12/1/2020 13:45,EXIT_LONG,86.2500,130.7252,11275.0466,362.11,0.36,393.48,0.39,-512.44,-0.51,9861.54,9.86
134,Entry long,12/1/2020 12:45,BUY,83.4800,130.7252,10912.9379,362.11,0.36,393.48,0.39,-512.44,-0.51,9861.54,9.86
135,Exit long,12/1/2020 13:45,EXIT_LONG,86.2500,133.3800,11504.0233,642.89,0.64,674.90,0.67,-249.42,-0.25,10504.43,10.50
135,Entry long,12/1/2020 13:00,BUY,81.4300,133.3800,10861.1318,642.89,0.64,674.90,0.67,-249.42,-0.25,10504.43,10.50
136,Exit long,12/2/2020 01:00,EXIT_LONG,86.7200,131.5529,11408.2665,357.82,0.36,414.39,0.41,-182.86,-0.18,10862.25,10.86
136,Entry long,12/1/2020 23:30,BUY,84,131.5529,11050.4427,357.82,0.36,414.39,0.41,-182.86,-0.18,10862.25,10.86
137,Exit long,12/4/2020 06:30,EXIT_LONG,87.9100,128.0165,11253.9266,167.70,0.17,172.82,0.17,-56.33,-0.06,11029.95,11.03
137,Entry long,12/4/2020 03:30,BUY,86.6000,128.0165,11086.2251,167.70,0.17,172.82,0.17,-56.33,-0.06,11029.95,11.03
138,Exit long,12/4/2020 14:30,EXIT_LONG,85.6400,130.6696,11190.5438,87.55,0.09,133.28,0.13,-257.42,-0.26,11117.50,11.12
