Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1633,Exit long,7/5/2022 17:30,EXIT_LONG,48.5700,254.4483,12358.5545,-491.09,-0.49,78.88,0.08,-648.84,-0.65,27516.48,27.52
1633,Entry long,7/5/2022 08:45,BUY,50.5000,254.4483,12849.6398,-491.09,-0.49,78.88,0.08,-648.84,-0.65,27516.48,27.52
1634,Exit long,7/5/2022 17:30,EXIT_LONG,48.5700,253.8698,12330.4543,-528.05,-0.53,33,0.03,-685.45,-0.69,26988.43,26.99
1634,Entry long,7/5/2022 09:00,BUY,50.6500,253.8698,12858.5034,-528.05,-0.53,33,0.03,-685.45,-0.69,26988.43,26.99
1635,Exit long,7/8/2022 14:45,EXIT_LONG,51.8500,244.2555,12664.6477,-34.20,-0.03,53.74,0.05,-302.88,-0.30,26954.24,26.95
1635,Entry long,7/8/2022 09:00,BUY,51.9900,244.2555,12698.8435,-34.20,-0.03,53.74,0.05,-302.88,-0.30,26954.24,26.95
1636,Exit long,7/8/2022 14:45,EXIT_LONG,51.8500,246.1749,12764.1662,76.31,0.08,164.94,0.16,-194.48,-0.19,27030.55,27.03
1636,Entry long,7/8/2022 09:15,BUY,51.5400,246.1749,12687.8520,76.31,0.08,164.94,0.16,-194.48,-0.19,27030.55,27.03
1637,Exit long,7/8/2022 14:45,EXIT_LONG,51.8500,247.9693,12857.2094,190.94,0.19,270.29,0.27,-81.83,-0.08,27221.49,27.22
1637,Entry long,7/8/2022 12:45,BUY,51.0800,247.9693,12666.2731,190.94,0.19,270.29,0.27,-81.83,-0.08,27221.49,27.22
1638,Exit long,7/9/2022 14:15,EXIT_LONG,52.2800,246.0288,12862.3854,140.24,0.14,167.30,0.17,-24.60,-0.02,27361.73,27.36
1638,Entry long,7/9/2022 12:00,BUY,51.7100,246.0288,12722.1490,140.24,0.14,167.30,0.17,-24.60,-0.02,27361.73,27.36
1639,Exit long,7/10/2022 21:00,EXIT_LONG,51.6000,238.9078,12327.6403,-408.53,-0.41,21.50,0.02,-635.49,-0.64,26953.19,26.95
1639,Entry long,7/10/2022 14:15,BUY,53.3100,238.9078,12736.1726,-408.53,-0.41,21.50,0.02,-635.49,-0.64,26953.19,26.95
1640,Exit long,7/10/2022 21:00,EXIT_LONG,51.6000,239.6768,12367.3246,-364.31,-0.36,9.59,0.01,-592,-0.59,26588.89,26.59
1640,Entry long,7/10/2022 14:30,BUY,53.1200,239.6768,12731.6334,-364.31,-0.36,9.59,0.01,-592,-0.59,26588.89,26.59
1641,Exit long,7/10/2022 21:00,EXIT_LONG,51.6000,240.8759,12429.1977,-286.64,-0.29,52.99,0.05,-515.47,-0.52,26302.24,26.30
1641,Entry long,7/10/2022 14:45,BUY,52.7900,240.8759,12715.8401,-286.64,-0.29,52.99,0.05,-515.47,-0.52,26302.24,26.30
1642,Exit long,7/11/2022 16:30,EXIT_LONG,50.7200,251.4979,12755.9732,125.75,0.13,150.90,0.15,-27.66,-0.03,26427.99,26.43
1642,Entry long,7/11/2022 14:00,BUY,50.2200,251.4979,12630.2243,125.75,0.13,150.90,0.15,-27.66,-0.03,26427.99,26.43
1643,Exit long,7/11/2022 16:30,EXIT_LONG,50.7200,251.2628,12744.0470,113.07,0.11,138.19,0.14,-25.13,-0.03,26541.06,26.54
1643,Entry long,7/11/2022 14:30,BUY,50.2700,251.2628,12630.9788,113.07,0.11,138.19,0.14,-25.13,-0.03,26541.06,26.54
1644,Exit long,7/12/2022 03:00,EXIT_LONG,48.9800,254.5074,12465.7705,-188.34,-0.19,0,0,-371.58,-0.37,26352.72,26.35
1644,Entry long,7/11/2022 22:00,BUY,49.7200,254.5074,12654.1060,-188.34,-0.19,0,0,-371.58,-0.37,26352.72,26.35
1645,Exit long,7/12/2022 03:00,EXIT_LONG,48.9800,256.6412,12570.2846,-71.86,-0.07,28.23,0.03,-256.64,-0.26,26280.86,26.28
1645,Entry long,7/11/2022 22:15,BUY,49.2600,256.6412,12642.1441,-71.86,-0.07,28.23,0.03,-256.64,-0.26,26280.86,26.28
1646,Exit long,7/12/2022 03:00,EXIT_LONG,48.9800,257.2529,12600.2495,-36.02,-0.04,64.31,0.06,-221.24,-0.22,26244.85,26.24
1646,Entry long,7/11/2022 22:30,BUY,49.1200,257.2529,12636.2649,-36.02,-0.04,64.31,0.06,-221.24,-0.22,26244.85,26.24
1647,Exit long,7/12/2022 11:30,EXIT_LONG,48.2000,260.1377,12538.6395,-85.85,-0.09,10.41,0.01,-265.34,-0.27,26159,26.16
1647,Entry long,7/12/2022 07:15,BUY,48.5300,260.1377,12624.4849,-85.85,-0.09,10.41,0.01,-265.34,-0.27,26159,26.16
1648,Exit long,7/12/2022 11:30,EXIT_LONG,48.2000,261.6972,12613.8037,-2.62,-0,94.21,0.09,-183.19,-0.18,26156.39,26.16
1648,Entry long,7/12/2022 07:30,BUY,48.2100,261.6972,12616.4207,-2.62,-0,94.21,0.09,-183.19,-0.18,26156.39,26.16
1649,Exit long,7/12/2022 11:30,EXIT_LONG,48.2000,261.5073,12604.6507,-13.08,-0.01,83.68,0.08,-193.52,-0.19,26143.31,26.14
1649,Entry long,7/12/2022 07:45,BUY,48.2500,261.5073,12617.7260,-13.08,-0.01,83.68,0.08,-193.52,-0.19,26143.31,26.14
1650,Exit long,7/13/2022 00:45,EXIT_LONG,47.6500,265.3414,12643.5187,29.19,0.03,161.86,0.16,-260.03,-0.26,26172.50,26.17
1650,Entry long,7/12/2022 19:30,BUY,47.5400,265.3414,12614.3312,29.19,0.03,161.86,0.16,-260.03,-0.26,26172.50,26.17
1651,Exit long,7/13/2022 00:45,EXIT_LONG,47.6500,264.6957,12612.7520,-5.29,-0.01,127.05,0.13,-293.81,-0.29,26167.21,26.17
1651,Entry long,7/12/2022 19:45,BUY,47.6700,264.6957,12618.0460,-5.29,-0.01,127.05,0.13,-293.81,-0.29,26167.21,26.17
1652,Exit long,7/13/2022 00:45,EXIT_LONG,47.6500,265.1575,12634.7529,21.21,0.02,153.79,0.15,-267.81,-0.27,26188.42,26.19
1652,Entry long,7/12/2022 20:00,BUY,47.5700,265.1575,12613.5403,21.21,0.02,153.79,0.15,-267.81,-0.27,26188.42,26.19
1653,Exit long,7/13/2022 14:45,EXIT_LONG,47.9100,267.9160,12835.8537,217.01,0.22,273.27,0.27,-176.82,-0.18,26405.43,26.41
1653,Entry long,7/13/2022 12:45,BUY,47.1000,267.9160,12618.8418,217.01,0.22,273.27,0.27,-176.82,-0.18,26405.43,26.41
1654,Exit long,7/13/2022 14:45,EXIT_LONG,47.9100,269.4731,12910.4553,299.12,0.30,355.70,0.36,-97.01,-0.10,26704.54,26.70
1654,Entry long,7/13/2022 13:00,BUY,46.8000,269.4731,12611.3401,299.12,0.30,355.70,0.36,-97.01,-0.10,26704.54,26.70
1655,Exit long,7/13/2022 14:45,EXIT_LONG,47.9100,268.9902,12887.3209,271.68,0.27,328.17,0.33,-123.74,-0.12,26976.23,26.98
1655,Entry long,7/13/2022 13:15,BUY,46.9000,268.9902,12615.6408,271.68,0.27,328.17,0.33,-123.74,-0.12,26976.23,26.98
1656,Exit long,7/14/2022 12:45,EXIT_LONG,48.5900,262.6732,12763.2908,65.67,0.07,91.94,0.09,-99.82,-0.10,27041.89,27.04
1656,Entry long,7/14/2022 08:45,BUY,48.3400,262.6732,12697.6225,65.67,0.07,91.94,0.09,-99.82,-0.10,27041.89,27.04
1657,Exit long,7/14/2022 12:45,EXIT_LONG,48.5900,263.0215,12780.2133,84.17,0.08,110.47,0.11,-81.54,-0.08,27126.06,27.13
1657,Entry long,7/14/2022 09:00,BUY,48.2700,263.0215,12696.0465,84.17,0.08,110.47,0.11,-81.54,-0.08,27126.06,27.13
1658,Exit long,7/14/2022 12:45,EXIT_LONG,48.5900,263.4091,12799.0503,108,0.11,134.34,0.13,-57.95,-0.06,27234.06,27.23
1658,Entry long,7/14/2022 09:15,BUY,48.1800,263.4091,12691.0525,108,0.11,134.34,0.13,-57.95,-0.06,27234.06,27.23
1659,Exit long,7/18/2022 22:15,EXIT_LONG,57.2100,224.1220,12822.0195,98.61,0.10,107.58,0.11,-181.54,-0.18,27332.67,27.33
1659,Entry long,7/18/2022 18:00,BUY,56.7700,224.1220,12723.4058,98.61,0.10,107.58,0.11,-181.54,-0.18,27332.67,27.33
1660,Exit long,7/18/2022 22:15,EXIT_LONG,57.2100,224.5572,12846.9166,125.75,0.13,134.73,0.13,-154.94,-0.15,27458.42,27.46
1660,Entry long,7/18/2022 19:00,BUY,56.6500,224.5572,12721.1646,125.75,0.13,134.73,0.13,-154.94,-0.15,27458.42,27.46
1661,Exit long,7/18/2022 22:15,EXIT_LONG,57.2100,226.0605,12932.9194,232.84,0.23,241.88,0.24,-47.47,-0.05,27691.27,27.69
1661,Entry long,7/18/2022 19:15,BUY,56.1800,226.0605,12700.0771,232.84,0.23,241.88,0.24,-47.47,-0.05,27691.27,27.69
1662,Exit long,7/20/2022 01:45,EXIT_LONG,58.0200,223.9805,12995.3469,226.22,0.23,253.10,0.25,-4.48,-0,27917.49,27.92
1662,Entry long,7/20/2022 00:45,BUY,57.0100,223.9805,12769.1266,226.22,0.23,253.10,0.25,-4.48,-0,27917.49,27.92
1663,Exit long,7/21/2022 01:15,EXIT_LONG,57.7700,224.8110,12987.3342,195.59,0.20,373.19,0.37,-112.41,-0.11,28113.07,28.11
1663,Entry long,7/20/2022 20:15,BUY,56.9000,224.8110,12791.7486,195.59,0.20,373.19,0.37,-112.41,-0.11,28113.07,28.11
1664,Exit long,7/21/2022 01:15,EXIT_LONG,57.7700,226.3477,13076.1090,294.25,0.29,473.07,0.47,-11.32,-0.01,28407.32,28.41
1664,Entry long,7/20/2022 20:30,BUY,56.4700,226.3477,12781.8569,294.25,0.29,473.07,0.47,-11.32,-0.01,28407.32,28.41
1665,Exit long,7/21/2022 01:15,EXIT_LONG,57.7700,225.4099,13021.9287,225.41,0.23,403.48,0.40,-47.34,-0.05,28632.73,28.63
1665,Entry long,7/20/2022 20:45,BUY,56.7700,225.4099,12796.5188,225.41,0.23,403.48,0.40,-47.34,-0.05,28632.73,28.63
1666,Exit long,7/21/2022 06:15,EXIT_LONG,56.1900,232.1471,13044.3482,181.07,0.18,225.18,0.23,-60.36,-0.06,28813.81,28.81
1666,Entry long,7/21/2022 03:00,BUY,55.4100,232.1471,12863.2734,181.07,0.18,225.18,0.23,-60.36,-0.06,28813.81,28.81
1667,Exit long,7/21/2022 06:15,EXIT_LONG,56.1900,231.6706,13017.5737,150.59,0.15,194.60,0.19,-90.35,-0.09,28964.39,28.96
1667,Entry long,7/21/2022 03:15,BUY,55.5400,231.6706,12866.9877,150.59,0.15,194.60,0.19,-90.35,-0.09,28964.39,28.96
1668,Exit long,7/22/2022 22:15,EXIT_LONG,56.4500,226.0154,12758.5701,-137.87,-0.14,135.61,0.14,-352.58,-0.35,28826.53,28.83
1668,Entry long,7/22/2022 15:45,BUY,57.0600,226.0154,12896.4395,-137.87,-0.14,135.61,0.14,-352.58,-0.35,28826.53,28.83
1669,Exit long,7/22/2022 22:15,EXIT_LONG,56.4500,225.6595,12738.4813,-160.22,-0.16,112.83,0.11,-374.59,-0.37,28666.31,28.67
1669,Entry long,7/22/2022 16:00,BUY,57.1600,225.6595,12898.6996,-160.22,-0.16,112.83,0.11,-374.59,-0.37,28666.31,28.67
1670,Exit long,7/22/2022 22:15,EXIT_LONG,56.4500,225.8809,12750.9741,-144.56,-0.14,128.75,0.13,-359.15,-0.36,28521.74,28.52
1670,Entry long,7/22/2022 16:15,BUY,57.0900,225.8809,12895.5379,-144.56,-0.14,128.75,0.13,-359.15,-0.36,28521.74,28.52
1671,Exit long,7/23/2022 14:00,EXIT_LONG,55.6800,231.3206,12879.9328,27.76,0.03,43.95,0.04,-203.56,-0.20,28549.50,28.55
1671,Entry long,7/23/2022 11:15,BUY,55.5600,231.3206,12852.1743,27.76,0.03,43.95,0.04,-203.56,-0.20,28549.50,28.55
1672,Exit long,7/23/2022 14:00,EXIT_LONG,55.6800,233.5253,13002.6881,163.47,0.16,179.81,0.18,-70.06,-0.07,28712.97,28.71
1672,Entry long,7/23/2022 11:45,BUY,54.9800,233.5253,12839.2204,163.47,0.16,179.81,0.18,-70.06,-0.07,28712.97,28.71
1673,Exit long,7/23/2022 14:00,EXIT_LONG,55.6800,233.7809,13016.9232,182.35,0.18,198.71,0.20,-51.43,-0.05,28895.32,28.90
1673,Entry long,7/23/2022 12:00,BUY,54.9000,233.7809,12834.5741,182.35,0.18,198.71,0.20,-51.43,-0.05,28895.32,28.90
1674,Exit long,7/23/2022 20:00,EXIT_LONG,55.4400,235.9424,13080.6452,191.11,0.19,228.86,0.23,-30.67,-0.03,29086.43,29.09
1674,Entry long,7/23/2022 19:00,BUY,54.6300,235.9424,12889.5318,191.11,0.19,228.86,0.23,-30.67,-0.03,29086.43,29.09
1675,Exit long,7/23/2022 20:00,EXIT_LONG,55.4400,235.9381,13080.4057,191.11,0.19,228.86,0.23,-21.23,-0.02,29277.54,29.28
1675,Entry long,7/23/2022 19:15,BUY,54.6300,235.9381,12889.2959,191.11,0.19,228.86,0.23,-21.23,-0.02,29277.54,29.28
1676,Exit long,7/25/2022 07:15,EXIT_LONG,56.5600,225.2614,12740.7872,-186.97,-0.19,49.56,0.05,-364.92,-0.36,29090.57,29.09
1676,Entry long,7/25/2022 00:30,BUY,57.3900,225.2614,12927.7542,-186.97,-0.19,49.56,0.05,-364.92,-0.36,29090.57,29.09
1677,Exit long,7/25/2022 07:15,EXIT_LONG,56.5600,225.9665,12780.6648,-142.36,-0.14,15.82,0.02,-320.87,-0.32,28948.22,28.95
1677,Entry long,7/25/2022 00:45,BUY,57.1900,225.9665,12923.0237,-142.36,-0.14,15.82,0.02,-320.87,-0.32,28948.22,28.95
1678,Exit long,7/25/2022 07:15,EXIT_LONG,56.5600,226.8362,12829.8560,-81.66,-0.08,0,0,-260.86,-0.26,28866.55,28.87
1678,Entry long,7/25/2022 01:00,BUY,56.9200,226.8362,12911.5170,-81.66,-0.08,0,0,-260.86,-0.26,28866.55,28.87
1679,Exit long,7/25/2022 20:15,EXIT_LONG,56.2200,232.8633,13091.5752,204.92,0.20,260.81,0.26,-125.75,-0.13,29071.47,29.07
1679,Entry long,7/25/2022 19:15,BUY,55.3400,232.8633,12886.6555,204.92,0.20,260.81,0.26,-125.75,-0.13,29071.47,29.07
1680,Exit long,7/25/2022 20:15,EXIT_LONG,56.2200,233.9631,13153.4064,273.74,0.27,329.89,0.33,-58.49,-0.06,29345.21,29.35
1680,Entry long,7/25/2022 19:30,BUY,55.0500,233.9631,12879.6696,273.74,0.27,329.89,0.33,-58.49,-0.06,29345.21,29.35
1681,Exit long,7/25/2022 20:15,EXIT_LONG,56.2200,233.4584,13125.0324,238.13,0.24,294.16,0.29,-9.34,-0.01,29583.34,29.58
1681,Entry long,7/25/2022 19:45,BUY,55.2000,233.4584,12886.9048,238.13,0.24,294.16,0.29,-9.34,-0.01,29583.34,29.58
1682,Exit long,7/26/2022 05:45,EXIT_LONG,53.5300,239.9691,12845.5484,-112.79,-0.11,36,0.04,-285.56,-0.29,29470.55,29.47
1682,Entry long,7/26/2022 00:00,BUY,54,239.9691,12958.3339,-112.79,-0.11,36,0.04,-285.56,-0.29,29470.55,29.47
1683,Exit long,7/26/2022 05:45,EXIT_LONG,53.5300,240.0447,12849.5938,-108.02,-0.11,21.60,0.02,-280.85,-0.28,29362.53,29.36
1683,Entry long,7/26/2022 00:15,BUY,53.9800,240.0447,12957.6140,-108.02,-0.11,21.60,0.02,-280.85,-0.28,29362.53,29.36
1684,Exit long,7/26/2022 05:45,EXIT_LONG,53.5300,240.8531,12892.8659,-52.99,-0.05,33.72,0.03,-226.40,-0.23,29309.55,29.31
1684,Entry long,7/26/2022 00:30,BUY,53.7500,240.8531,12945.8536,-52.99,-0.05,33.72,0.03,-226.40,-0.23,29309.55,29.31
1685,Exit long,7/26/2022 08:45,EXIT_LONG,53.4100,243.5208,13006.4460,75.49,0.08,80.36,0.08,-12.18,-0.01,29385.04,29.39
1685,Entry long,7/26/2022 08:15,BUY,53.1000,243.5208,12930.9545,75.49,0.08,80.36,0.08,-12.18,-0.01,29385.04,29.39
1686,Exit long,7/26/2022 17:15,EXIT_LONG,52.7000,244.6304,12892.0239,-46.48,-0.05,4.89,0,-215.27,-0.22,29338.56,29.34
1686,Entry long,7/26/2022 12:30,BUY,52.8900,244.6304,12938.5037,-46.48,-0.05,4.89,0,-215.27,-0.22,29338.56,29.34
1687,Exit long,7/26/2022 17:15,EXIT_LONG,52.7000,245.7601,12951.5595,19.66,0.02,71.27,0.07,-149.91,-0.15,29358.22,29.36
1687,Entry long,7/26/2022 12:45,BUY,52.6200,245.7601,12931.8987,19.66,0.02,71.27,0.07,-149.91,-0.15,29358.22,29.36
1688,Exit long,7/26/2022 17:15,EXIT_LONG,52.7000,245.9847,12963.3942,34.44,0.03,86.09,0.09,-135.29,-0.14,29392.66,29.39
1688,Entry long,7/26/2022 13:00,BUY,52.5600,245.9847,12928.9563,34.44,0.03,86.09,0.09,-135.29,-0.14,29392.66,29.39
1689,Exit long,7/28/2022 13:30,EXIT_LONG,59.5200,219.6446,13073.2488,133.98,0.13,208.66,0.21,-30.75,-0.03,29526.64,29.53
1689,Entry long,7/28/2022 12:45,BUY,58.9100,219.6446,12939.2656,133.98,0.13,208.66,0.21,-30.75,-0.03,29526.64,29.53
1690,Exit long,7/28/2022 15:00,EXIT_LONG,59.8600,221.1107,13235.6856,283.02,0.28,400.21,0.40,-13.27,-0.01,29809.66,29.81
1690,Entry long,7/28/2022 14:00,BUY,58.5800,221.1107,12952.6639,283.02,0.28,400.21,0.40,-13.27,-0.01,29809.66,29.81
1691,Exit long,7/29/2022 14:00,EXIT_LONG,61.3300,210.7642,12926.1674,-54.80,-0.05,170.72,0.17,-385.70,-0.39,29754.86,29.75
1691,Entry long,7/29/2022 11:15,BUY,61.5900,210.7642,12980.9661,-54.80,-0.05,170.72,0.17,-385.70,-0.39,29754.86,29.75
1692,Exit long,7/29/2022 14:00,EXIT_LONG,61.3300,211.9418,12998.3900,25.43,0.03,252.21,0.25,-307.32,-0.31,29780.30,29.78
1692,Entry long,7/29/2022 11:30,BUY,61.2100,211.9418,12972.9570,25.43,0.03,252.21,0.25,-307.32,-0.31,29780.30,29.78
1693,Exit long,7/29/2022 14:00,EXIT_LONG,61.3300,213.2898,13081.0637,127.97,0.13,356.19,0.36,-206.89,-0.21,29908.27,29.91
1693,Entry long,7/29/2022 11:45,BUY,60.7300,213.2898,12953.0899,127.97,0.13,356.19,0.36,-206.89,-0.21,29908.27,29.91
1694,Exit long,7/31/2022 01:30,EXIT_LONG,61.0500,210.4459,12847.7237,-143.10,-0.14,77.86,0.08,-383.01,-0.38,29765.17,29.77
1694,Entry long,7/30/2022 20:00,BUY,61.7300,210.4459,12990.8269,-143.10,-0.14,77.86,0.08,-383.01,-0.38,29765.17,29.77
1695,Exit long,7/31/2022 01:30,EXIT_LONG,61.0500,210.9998,12881.5390,-105.50,-0.11,116.05,0.12,-346.04,-0.35,29659.67,29.66
1695,Entry long,7/30/2022 20:15,BUY,61.5500,210.9998,12987.0389,-105.50,-0.11,116.05,0.12,-346.04,-0.35,29659.67,29.66
1696,Exit long,7/31/2022 01:30,EXIT_LONG,61.0500,213.3010,13022.0268,70.39,0.07,159.98,0.16,-172.77,-0.17,29730.06,29.73
1696,Entry long,7/30/2022 22:15,BUY,60.7200,213.3010,12951.6374,70.39,0.07,159.98,0.16,-172.77,-0.17,29730.06,29.73
1697,Exit long,8/1/2022 04:30,EXIT_LONG,60.2500,215.7493,12998.8954,25.89,0.03,133.76,0.13,-174.76,-0.17,29755.95,29.76
1697,Entry long,7/31/2022 22:45,BUY,60.1300,215.7493,12973.0055,25.89,0.03,133.76,0.13,-174.76,-0.17,29755.95,29.76
1698,Exit long,8/1/2022 04:30,EXIT_LONG,60.2500,215.9073,13008.4153,36.70,0.04,144.66,0.14,-164.09,-0.16,29792.65,29.79
1698,Entry long,7/31/2022 23:00,BUY,60.0800,215.9073,12971.7110,36.70,0.04,144.66,0.14,-164.09,-0.16,29792.65,29.79
1699,Exit long,8/1/2022 04:30,EXIT_LONG,60.2500,216.9522,13071.3718,114.98,0.11,223.46,0.22,-86.78,-0.09,29907.63,29.91
1699,Entry long,7/31/2022 23:15,BUY,59.7200,216.9522,12956.3871,114.98,0.11,223.46,0.22,-86.78,-0.09,29907.63,29.91
1700,Exit long,8/1/2022 08:00,EXIT_LONG,60,219.6612,13179.6720,188.91,0.19,224.05,0.22,0,0,30096.54,30.10
1700,Entry long,8/1/2022 06:30,BUY,59.1400,219.6612,12990.7634,188.91,0.19,224.05,0.22,0,0,30096.54,30.10
1701,Exit long,8/1/2022 12:00,EXIT_LONG,59.3800,220.6148,13100.1063,90.45,0.09,103.69,0.10,-37.50,-0.04,30186.99,30.19
1701,Entry long,8/1/2022 11:00,BUY,58.9700,220.6148,13009.6543,90.45,0.09,103.69,0.10,-37.50,-0.04,30186.99,30.19
1702,Exit long,8/1/2022 12:00,EXIT_LONG,59.3800,220.8845,13116.1228,108.23,0.11,121.49,0.12,-6.63,-0.01,30295.23,30.30
1702,Entry long,8/1/2022 11:15,BUY,58.8900,220.8845,13007.8893,108.23,0.11,121.49,0.12,-6.63,-0.01,30295.23,30.30
1703,Exit long,8/1/2022 14:00,EXIT_LONG,59.4100,222.0815,13193.8631,164.34,0.16,299.81,0.30,-53.30,-0.05,30459.57,30.46
1703,Entry long,8/1/2022 13:15,BUY,58.6700,222.0815,13029.5228,164.34,0.16,299.81,0.30,-53.30,-0.05,30459.57,30.46
1704,Exit long,8/1/2022 21:00,EXIT_LONG,59.0700,222.8174,13161.8219,115.87,0.12,118.09,0.12,-66.85,-0.07,30575.43,30.58
1704,Entry long,8/1/2022 17:30,BUY,58.5500,222.8174,13045.9568,115.87,0.12,118.09,0.12,-66.85,-0.07,30575.43,30.58
1705,Exit long,8/1/2022 21:00,EXIT_LONG,59.0700,222.9545,13169.9201,124.85,0.12,127.08,0.13,-57.97,-0.06,30700.29,30.70
1705,Entry long,8/1/2022 18:30,BUY,58.5100,222.9545,13045.0656,124.85,0.12,127.08,0.13,-57.97,-0.06,30700.29,30.70
1706,Exit long,8/1/2022 21:00,EXIT_LONG,59.0700,223.5970,13207.8740,172.17,0.17,174.41,0.17,-8.94,-0.01,30872.46,30.87
1706,Entry long,8/1/2022 18:45,BUY,58.3000,223.5970,13035.7044,172.17,0.17,174.41,0.17,-8.94,-0.01,30872.46,30.87
1707,Exit long,8/2/2022 08:00,EXIT_LONG,57.5300,225.7200,12985.6718,-101.57,-0.10,15.80,0.02,-304.72,-0.30,30770.88,30.77
1707,Entry long,8/2/2022 02:45,BUY,57.9800,225.7200,13087.2458,-101.57,-0.10,15.80,0.02,-304.72,-0.30,30770.88,30.77
1708,Exit long,8/2/2022 08:00,EXIT_LONG,57.5300,226.9577,13056.8755,-22.70,-0.02,4.54,0,-226.96,-0.23,30748.19,30.75
1708,Entry long,8/2/2022 03:00,BUY,57.6300,226.9577,13079.5713,-22.70,-0.02,4.54,0,-226.96,-0.23,30748.19,30.75
1709,Exit long,8/2/2022 08:00,EXIT_LONG,57.5300,228.9539,13171.7198,121.35,0.12,148.82,0.15,-84.71,-0.08,30869.53,30.87
1709,Entry long,8/2/2022 03:15,BUY,57,228.9539,13050.3742,121.35,0.12,148.82,0.15,-84.71,-0.08,30869.53,30.87
1710,Exit long,8/3/2022 04:00,EXIT_LONG,57.6000,228.3936,13155.4714,68.52,0.07,73.09,0.07,-137.04,-0.14,30938.05,30.94
1710,Entry long,8/3/2022 00:30,BUY,57.3000,228.3936,13086.9533,68.52,0.07,73.09,0.07,-137.04,-0.14,30938.05,30.94
1711,Exit long,8/3/2022 04:00,EXIT_LONG,57.6000,229.2622,13205.5019,123.80,0.12,128.39,0.13,-82.53,-0.08,31061.85,31.06
1711,Entry long,8/3/2022 00:45,BUY,57.0600,229.2622,13081.7003,123.80,0.12,128.39,0.13,-82.53,-0.08,31061.85,31.06
1712,Exit long,8/3/2022 04:00,EXIT_LONG,57.6000,229.5803,13223.8267,146.93,0.15,151.52,0.15,-59.69,-0.06,31208.78,31.21
1712,Entry long,8/3/2022 01:00,BUY,56.9600,229.5803,13076.8953,146.93,0.15,151.52,0.15,-59.69,-0.06,31208.78,31.21
1713,Exit long,8/4/2022 01:00,EXIT_LONG,58.8300,225.1738,13246.9758,126.10,0.13,207.16,0.21,-216.17,-0.22,31334.88,31.33
1713,Entry long,8/3/2022 22:45,BUY,58.2700,225.1738,13120.8785,126.10,0.13,207.16,0.21,-216.17,-0.22,31334.88,31.33
1714,Exit long,8/4/2022 01:00,EXIT_LONG,58.8300,225.7007,13277.9735,160.25,0.16,241.50,0.24,-182.82,-0.18,31495.13,31.50
1714,Entry long,8/3/2022 23:00,BUY,58.1200,225.7007,13117.7260,160.25,0.16,241.50,0.24,-182.82,-0.18,31495.13,31.50
1715,Exit long,8/4/2022 01:00,EXIT_LONG,58.8300,227.5413,13386.2520,295.80,0.30,377.72,0.38,-50.06,-0.05,31790.93,31.79
1715,Entry long,8/3/2022 23:15,BUY,57.5300,227.5413,13090.4484,295.80,0.30,377.72,0.38,-50.06,-0.05,31790.93,31.79
1716,Exit long,8/4/2022 07:45,EXIT_LONG,58.8700,226.7176,13346.8643,167.77,0.17,188.18,0.19,-29.47,-0.03,31958.70,31.96
1716,Entry long,8/4/2022 06:30,BUY,58.1300,226.7176,13179.0933,167.77,0.17,188.18,0.19,-29.47,-0.03,31958.70,31.96
1717,Exit long,8/6/2022 13:15,EXIT_LONG,61.5600,216.0070,13297.3937,101.52,0.10,108,0.11,-45.36,-0.05,32060.23,32.06
1717,Entry long,8/6/2022 09:15,BUY,61.0900,216.0070,13195.8704,101.52,0.10,108,0.11,-45.36,-0.05,32060.23,32.06
1718,Exit long,8/6/2022 13:15,EXIT_LONG,61.5600,216.0389,13299.3531,103.70,0.10,110.18,0.11,-17.28,-0.02,32163.93,32.16
1718,Entry long,8/6/2022 09:30,BUY,61.0800,216.0389,13195.6544,103.70,0.10,110.18,0.11,-17.28,-0.02,32163.93,32.16
1719,Exit long,8/6/2022 17:45,EXIT_LONG,61.4200,217.5896,13364.3535,147.96,0.15,184.95,0.18,-15.23,-0.02,32311.89,32.31
1719,Entry long,8/6/2022 17:15,BUY,60.7400,217.5896,13216.3926,147.96,0.15,184.95,0.18,-15.23,-0.02,32311.89,32.31
1720,Exit long,8/7/2022 05:30,EXIT_LONG,60.5600,217.1539,13150.8417,-80.35,-0.08,58.63,0.06,-232.35,-0.23,32231.54,32.23
1720,Entry long,8/6/2022 23:30,BUY,60.9300,217.1539,13231.1887,-80.35,-0.08,58.63,0.06,-232.35,-0.23,32231.54,32.23
1721,Exit long,8/7/2022 05:30,EXIT_LONG,60.5600,217.5110,13172.4643,-56.55,-0.06,82.65,0.08,-208.81,-0.21,32174.99,32.17
1721,Entry long,8/7/2022 00:00,BUY,60.8200,217.5110,13229.0172,-56.55,-0.06,82.65,0.08,-208.81,-0.21,32174.99,32.17
1722,Exit long,8/7/2022 05:30,EXIT_LONG,60.5600,219.0665,13266.6667,61.34,0.06,78.86,0.08,-92.01,-0.09,32236.33,32.24
1722,Entry long,8/7/2022 01:00,BUY,60.2800,219.0665,13205.3281,61.34,0.06,78.86,0.08,-92.01,-0.09,32236.33,32.24
1723,Exit long,8/8/2022 02:45,EXIT_LONG,61.2300,217.3152,13306.2124,82.58,0.08,134.74,0.13,-19.56,-0.02,32318.91,32.32
