time,close,log_ret,trend,rv20,hurst,state_k2,label_k2,conf_k2,state_k3,label_k3,conf_k3,state_k4,label_k4,conf_k4,state_k5,label_k5,conf_k5,state_k6,label_k6,conf_k6
1718654400,66397.94,-0.004418823850432574,-0.00030561929533494116,0.004898789491236848,0.6566862756321543,0,Bear/Volatile (trending),1.0000000024374458,2,Bull/Normal (trending),1.0000000013315002,2,Bear/Normal (trending),1.000000001018634,0,Bear/Volatile (trending),1.0000000020881998,0,Bear/Volatile (trending),1.000000000676664
1718658000,66572.0,0.0026180368197330495,-0.00028211312960156425,0.004921909597156174,0.6709933320720619,0,Bear/Volatile (trending),0.9979538433895052,2,Bull/Normal (trending),0.9999450315200799,2,Bear/Normal (trending),0.9999767444326829,0,Bear/Volatile (trending),0.9966113618495059,0,Bear/Volatile (trending),0.9999611496148616
1718661600,66656.0,0.0012609963540821667,-0.00023214332053746487,0.004905161716593822,0.6399610973604123,0,Bear/Volatile (trending),0.9971131419243138,2,Bull/Normal (trending),0.9997117325005757,2,Bear/Normal (trending),0.9999839737985897,0,Bear/Volatile (trending),0.9953653228157816,0,Bear/Volatile (trending),0.9999184329879626
1718665200,66504.33,-0.0022780067545440374,-0.00020898669227281932,0.004915858091724703,0.6400674771993562,0,Bear/Volatile (trending),0.99754323744496,2,Bull/Normal (trending),0.9978025297803599,2,Bear/Normal (trending),0.9999817287530567,0,Bear/Volatile (trending),0.9957698218294073,0,Bear/Volatile (trending),0.9999152917089238
1718668800,65749.99,-0.011407539357410457,-0.00023157261377373725,0.005491694669994697,0.6331017559470766,0,Bear/Volatile (trending),0.9992515311260614,2,Bull/Normal (trending),0.980989233168657,2,Bear/Normal (trending),0.9999489140198322,0,Bear/Volatile (trending),0.9983744345714645,0,Bear/Volatile (trending),0.9999760142129975
1718672400,65133.99,-0.009412986193540362,-0.00028132926928164313,0.005839698751731716,0.6187413787898611,0,Bear/Volatile (trending),0.9998733045734097,2,Bull/Normal (trending),0.9367209846186404,2,Bear/Normal (trending),0.9998808713158343,0,Bear/Volatile (trending),0.9997539505128497,0,Bear/Volatile (trending),0.9999848717105316
1718676000,65467.43,0.005106234289014466,-0.00031558473023183067,0.005960868603675733,0.6281525933679847,0,Bear/Volatile (trending),0.9999578938429341,2,Bull/Normal (trending),0.8990426621336561,2,Bear/Normal (trending),0.9998106284743685,0,Bear/Volatile (trending),0.9999280538812007,0,Bear/Volatile (trending),0.9999870960487367
1718679600,65500.0,0.0004973755791244372,-0.00033063803825635903,0.005959924685257769,0.6151879909917997,0,Bear/Volatile (trending),0.999964547055252,2,Bull/Normal (trending),0.8729027228578901,2,Bear/Normal (trending),0.9997708232755679,0,Bear/Volatile (trending),0.999951667294498,0,Bear/Volatile (trending),0.9999864222676034
1718683200,65574.21,0.0011323357650496746,-0.0003443570391155421,0.005968501122438354,0.5977122713936717,0,Bear/Volatile (trending),0.9999643242005962,2,Bull/Normal (trending),0.8604526716383348,2,Bear/Normal (trending),0.9997516133983475,0,Bear/Volatile (trending),0.9999579630853095,0,Bear/Volatile (trending),0.9999845828885294
1718686800,65596.01,0.00033239252325145685,-0.00035386816619394616,0.005757799132791704,0.6118174471711151,0,Bear/Volatile (trending),0.9999350447902714,2,Bull/Normal (trending),0.862113974528836,2,Bear/Normal (trending),0.9998230879502602,0,Bear/Volatile (trending),0.999959695354012,0,Bear/Volatile (trending),0.9999889111819352
1718690400,65500.0,-0.0014647282883011314,-0.0003658984939137612,0.005730569047821827,0.6095880788088287,0,Bear/Volatile (trending),0.9999236318166311,2,Bull/Normal (trending),0.8677211269960317,2,Bear/Normal (trending),0.9998526647242193,0,Bear/Volatile (trending),0.9999623868659777,0,Bear/Volatile (trending),0.9999895511464474
1718694000,65672.51,0.002630278241337436,-0.0003623072541254597,0.005763611976449126,0.6118841889511256,0,Bear/Volatile (trending),0.999892357877236,2,Bull/Normal (trending),0.8789294338572087,2,Bear/Normal (trending),0.9998681230953742,0,Bear/Volatile (trending),0.9999606491795131,0,Bear/Volatile (trending),0.9999894318656517
1718697600,65727.53,0.0008374427163868603,-0.00035537800376978125,0.005728208981488213,0.6117145353836969,0,Bear/Volatile (trending),0.9995866925390628,2,Bull/Normal (trending),0.897673582778768,2,Bear/Normal (trending),0.9998892643541823,0,Bear/Volatile (trending),0.9999513721741375,0,Bear/Volatile (trending),0.9999893437401883
1718701200,65469.92,-0.003927063080386262,-0.0003642006573734612,0.005600334771506505,0.6145043411636837,0,Bear/Volatile (trending),0.9973328508324126,2,Bull/Normal (trending),0.9246167120917597,2,Bear/Normal (trending),0.999917484782929,0,Bear/Volatile (trending),0.9998599354459297,0,Bear/Volatile (trending),0.9999902821254343
