time,close,trend,rv20,hurst,causal_state,causal_label,causal_conf,fullsample_state
1718654400,66397.94,-0.00030561929533494116,0.004898789491236848,0.6566862756321543,-1,warmup,,2
1718658000,66572.0,-0.00028211312960156425,0.004921909597156174,0.6709933320720619,-1,warmup,,2
1718661600,66656.0,-0.00023214332053746487,0.004905161716593822,0.6399610973604123,-1,warmup,,2
1718665200,66504.33,-0.00020898669227281932,0.004915858091724703,0.6400674771993562,-1,warmup,,2
1718668800,65749.99,-0.00023157261377373725,0.005491694669994697,0.6331017559470766,-1,warmup,,2
1718672400,65133.99,-0.00028132926928164313,0.005839698751731716,0.6187413787898611,-1,warmup,,2
1718676000,65467.43,-0.00031558473023183067,0.005960868603675733,0.6281525933679847,-1,warmup,,2
1718679600,65500.0,-0.00033063803825635903,0.005959924685257769,0.6151879909917997,-1,warmup,,2
1718683200,65574.21,-0.0003443570391155421,0.005968501122438354,0.5977122713936717,-1,warmup,,2
1718686800,65596.01,-0.00035386816619394616,0.005757799132791704,0.6118174471711151,-1,warmup,,2
1718690400,65500.0,-0.0003658984939137612,0.005730569047821827,0.6095880788088287,-1,warmup,,2
1718694000,65672.51,-0.0003623072541254597,0.005763611976449126,0.6118841889511256,-1,warmup,,2
1718697600,65727.53,-0.00035537800376978125,0.005728208981488213,0.6117145353836969,-1,warmup,,2
1718701200,65469.92,-0.0003642006573734612,0.005600334771506505,0.6145043411636837,-1,warmup,,2
1718704800,65435.52,-0.00035322837062626094,0.005523011369314643,0.6157810587875998,-1,warmup,,2
1718708400,65366.0,-0.00034778328273417494,0.005516199364619553,0.6213437617102855,-1,warmup,,2
1718712000,65231.95,-0.00035353168397635106,0.005191011082772449,0.6111700951927181,-1,warmup,,2
1718715600,64844.0,-0.0003904962643936184,0.004600465923579827,0.6122861380646555,-1,warmup,,2
1718719200,64633.99,-0.0004443275360017465,0.004128253384296167,0.6013814735221372,-1,warmup,,2
1718722800,64706.0,-0.0004935013655070528,0.004052716209975571,0.6114838556957095,-1,warmup,,2
1718726400,64700.99,-0.0005209049648864247,0.004004784671171726,0.6107916958729241,-1,warmup,,2
1718730000,64610.0,-0.0005555212873120318,0.003897519496301815,0.620810262667923,-1,warmup,,2
1718733600,64678.01,-0.000593256561181363,0.003890014624342683,0.6275118986544421,-1,warmup,,2
1718737200,64412.19,-0.0006440323301929777,0.003930785918588978,0.6287321875331356,-1,warmup,,2
1718740800,64936.51,-0.0006417721558402818,0.0037870960346042537,0.6224324491285306,-1,warmup,,2
